title,date,article_body,link,category,summary,company_name,funds
The New York Stock Exchange Launches Annual Sustainability Leaders Summit Today,03/28/2023 - 08:30 AM,"NEW YORK--(BUSINESS WIRE)--The New York Stock Exchange, part of Intercontinental Exchange, Inc. (NYSE: ICE), a leading global provider of data, technology and market infrastructure, is holding its first annual broad market Sustainability Leaders Summit today, bringing together NYSE-listed companies and thought leaders to address pressing topics around sustainability.",https://www.businesswire.com/news/home/20230328005573/en,Conference News,"NEW YORK--(BUSINESS WIRE)--The New York Stock Exchange, part of Intercontinental Exchange, Inc. (NYSE: ICE), a leading global provider of data, technology and market infrastructure, is holding its first annual broad market Sustainability Leaders Summit today, bringing together NYSE-listed companies and thought leaders to address pressing topics around sustainability.","['New York Stock Exchange', 'Intercontinental Exchange, Inc.', 'NYSE', 'Sustainability Leaders Summit', 'NYSE']",[]
Women Leaders Coming Together for Fourth Annual Medtech Conference,03/28/2023 - 08:00 AM,"For 2023 and beyond, how are the financial markets predicting and expecting life sciences companies to grow? Market Access and Chief Marketing Officer at Boston Scientific and MedExecWomen Board Member Mary Beth Moynihan, SVP, is one of the expert female panelists that will answer this question and more at the upcoming MedExecWomen 2023 Annual Conference on May 16.",https://www.businesswire.com/news/home/20230328005286/en,Conference News,"For 2023 and beyond, how are the financial markets predicting and expecting life sciences companies to grow?Market Access and Chief Marketing Officer at Boston Scientific and MedExecWomen Board Member Mary Beth Moynihan, SVP, is one of the expert female panelists that will answer this question and more at the upcoming MedExecWomen 2023 Annual Conference on May 16.","['Boston Scientific', 'Board', 'SVP']",[]
Babson Diagnostics and ClosedLoop Team Selected as 1st Place Winner of ‘Help with Hemolysis’ Data Analytics Challenge,03/28/2023 - 08:00 AM,"AUSTIN, Texas--(BUSINESS WIRE)--Babson Diagnostics, a science-first healthcare technology company, and ClosedLoop, the leading healthcare data science platform, today announced their team was selected as the first-place winner of the ‘Help with Hemolysis’ Data Analytics Challenge. As winners, the Babson and ClosedLoop team will present their approach for using data science to solve the real-world laboratory challenge of hemolysis during a scientific session titled “Blood & Bytes: Reducing sample quality errors in clinical laboratories using data science” at the 2023 AACC Annual Scientific Meeting & Clinical Lab Expo in Anaheim on July 23-27, 2023.",https://www.businesswire.com/news/home/20230328005310/en,Conference News,"AUSTIN, Texas--(BUSINESS WIRE)--Babson Diagnostics, a science-first healthcare technology company, and ClosedLoop, the leading healthcare data science platform, today announced their team was selected as the first-place winner of the ‘Help with Hemolysis’ Data Analytics Challenge.As winners, the Babson and ClosedLoop team will present their approach for using data science to solve the real-world laboratory challenge of hemolysis during a scientific session titled “Blood & Bytes: Reducing sample quality errors in clinical laboratories using data science” at the 2023 AACC Annual Scientific Meeting & Clinical Lab Expo in Anaheim on July 23-27, 2023.","['AUSTIN', 'Texas--(BUSINESS WIRE)--Babson Diagnostics', 'ClosedLoop', 'ClosedLoop']",[]
"Agilysys to Share Insights on Importance of High-Tech, High Return Hospitality™ During Indian Gaming Tradeshow & Convention 2023",03/28/2023 - 08:00 AM,"ALPHARETTA, Ga.--(BUSINESS WIRE)--Agilysys, Inc. (Nasdaq: AGYS), a leading global provider of hospitality software solutions that help properties achieve High Return Hospitality™, will be speaking at the Indian Gaming Tradeshow & Convention, the largest gathering of tribal leaders and casino executives in the country.",https://www.businesswire.com/news/home/20230328005376/en,Conference News,"ALPHARETTA, Ga.--(BUSINESS WIRE)--Agilysys, Inc. (Nasdaq: AGYS), a leading global provider of hospitality software solutions that help properties achieve High Return Hospitality™, will be speaking at the Indian Gaming Tradeshow & Convention, the largest gathering of tribal leaders and casino executives in the country.","['WIRE)--Agilysys, Inc.']",[]
The Global Food Safety Initiative Announces 22nd Annual Conference Keynote Speakers,03/28/2023 - 08:00 AM,"ATLANTA--(BUSINESS WIRE)--The Global Food Safety Initiative (GFSI), part of The Consumer Goods Forum (CGF), announces today its keynote speakers for its 22nd Annual Conference, ""Delivering Safe Food in Turbulent Times: The Need for Agility & Resilience."" The conference will feature three keynote sessions during the three-day event at the Westin Peachtree Plaza in Atlanta, USA, from April 24-27, 2023.",https://www.businesswire.com/news/home/20230328005370/en,Conference News,"ATLANTA--(BUSINESS WIRE)--The Global Food Safety Initiative (GFSI), part of The Consumer Goods Forum (CGF), announces today its keynote speakers for its 22nd Annual Conference, ""Delivering Safe Food in Turbulent Times: The Need for Agility & Resilience.""The conference will feature three keynote sessions during the three-day event at the Westin Peachtree Plaza in Atlanta, USA, from April 24-27, 2023.","['Global Food Safety Initiative', 'The Consumer Goods Forum', 'The Need for Agility & Resilience']",[]
Alto Neuroscience to Present at the Stifel 2023 CNS Days,03/28/2023 - 08:00 AM,"LOS ALTOS, Calif.--(BUSINESS WIRE)--Alto Neuroscience today announced that founder and chief executive officer, Amit Etkin, M.D., Ph.D., will present at the Stifel 2023 CNS Days on Wednesday, March 29, 2023, at 3:00 p.m. ET.",https://www.businesswire.com/news/home/20230328005382/en,Conference News,"LOS ALTOS, Calif.--(BUSINESS WIRE)--Alto Neuroscience today announced that founder and chief executive officer, Amit Etkin, M.D., Ph.D., will present at the Stifel 2023 CNS Days on Wednesday, March 29, 2023, at 3:00 p.m.ET.",['ALTOS'],[]
Mahalo Banking Selected as Finalist in NACUSO’s Next Big Idea Competition for its Next-Generation Digital Banking Solution,03/28/2023 - 07:45 AM,"TROY, Mich.--(BUSINESS WIRE)--Mahalo Banking, a CUSO that provides online and mobile banking solutions for credit unions, has been selected as one of five finalists in the National Association of Credit Union Service Organizations’ (NACUSO) Next Big Idea Competition. Now in its eleventh year, the Next Big Idea Competition is designed to showcase innovation, collaboration and new solutions for the credit union industry.",https://www.businesswire.com/news/home/20230328005271/en,Conference News,"TROY, Mich.--(BUSINESS WIRE)--Mahalo Banking, a CUSO that provides online and mobile banking solutions for credit unions, has been selected as one of five finalists in the National Association of Credit Union Service Organizations’ (NACUSO) Next Big Idea Competition.Now in its eleventh year, the Next Big Idea Competition is designed to showcase innovation, collaboration and new solutions for the credit union industry.","['TROY', 'CUSO', 'the National Association of Credit Union Service Organizations’ (NACUSO', 'the Next Big Idea Competition']",[]
Feelm underlines the need for a lasting strategy at the first environmental summit in the electronic cigarette industry in the United Kingdom,03/28/2023 - 07:45 AM,(Photo: Business Wire),https://www.businesswire.com/news/home/20230322005453/fr,Conference News,(Photo: Business Wire),[],[]
DocGo’s Anthony Capone to Present on Virtual First Medical Care Delivery at HIMSS 2023 Conference,03/28/2023 - 07:30 AM,"NEW YORK--(BUSINESS WIRE)--DocGo (Nasdaq: DCGO), a leading provider of last-mile mobile health services, announced today that Anthony Capone, CEO, will be participating on a panel at HIMSS23 in Chicago, speaking on the topic of a “Virtual First Approach to Augment Consumer Care Delivery at Home.” This important panel, led by Kent Dicks, Founder and CEO of Life365, will explore the latest opportunities and challenges to effectively implement a virtual first approach to delivering home health care and the outlook for its demand and adoption. In addition to Capone, John Bennett, Healthcare Industry Specialist at Microsoft Corporation, will round out the panel participants.",https://www.businesswire.com/news/home/20230328005341/en,Conference News,"NEW YORK--(BUSINESS WIRE)--DocGo (Nasdaq: DCGO), a leading provider of last-mile mobile health services, announced today that Anthony Capone, CEO, will be participating on a panel at HIMSS23 in Chicago, speaking on the topic of a “Virtual First Approach to Augment Consumer Care Delivery at Home.” This important panel, led by Kent Dicks, Founder and CEO of Life365, will explore the latest opportunities and challenges to effectively implement a virtual first approach to delivering home health care and the outlook for its demand and adoption.In addition to Capone, John Bennett, Healthcare Industry Specialist at Microsoft Corporation, will round out the panel participants.","['Virtual First Approach', 'Healthcare Industry Specialist', 'Microsoft Corporation']",[]
"Entromy, TalentScape Partners, and BluWave Release Second Annual Human Capital Report Highlighting Trends in Private Equity and People",03/28/2023 - 07:19 AM,"NEW YORK--(BUSINESS WIRE)--Entromy, TalentScape Partners, and BluWave, today released the annual report, Private Equity and the Talent Function, analyzing key trends in the talent function in private equity.",https://www.businesswire.com/news/home/20230328005562/en,Conference News,"NEW YORK--(BUSINESS WIRE)--Entromy, TalentScape Partners, and BluWave, today released the annual report, Private Equity and the Talent Function, analyzing key trends in the talent function in private equity.","['TalentScape Partners', 'BluWave', 'Private Equity', 'the Talent Function']",[]
Feelm value the sustainable strategy on the first environmental summit of the United Kingdom for the vapeo sector,03/28/2023 - 07:16 AM,(Photo: Business Wire),https://www.businesswire.com/news/home/20230322005446/es,Conference News,(Photo: Business Wire),[],[]
Feelm emphasizes sustainable strategy in the first environmental summit of the United Kingdom in the vaporization sector,03/28/2023 - 07:16 AM,(Photo: Business Wire),https://www.businesswire.com/news/home/20230322005448/pt,Conference News,(Photo: Business Wire),[],[]
Feelm emphasizes its sustainability strategy on the Great Britain's first environmental summit for the e-cigarette industry,03/28/2023 - 07:16 AM,(Photo: Business Wire),https://www.businesswire.com/news/home/20230322005452/de,Conference News,(Photo: Business Wire),[],[]
Vector Atomic Validates Quantum Navigation Sensor at Sea,03/28/2023 - 07:02 AM,"Results to be presented at IEEE INERTIAL 2023 in Kaua'i, Hawaii",https://www.businesswire.com/news/home/20230327005642/en,Conference News,"Results to be presented at IEEE INERTIAL 2023 in Kaua'i, Hawaii",['IEEE INERTIAL 2023'],[]
Newron Presents Six-Month Interim Data From the First 100 Patients Randomized in Study 014/015 at the 31st European Congress of Psychiatry,03/28/2023 - 07:00 AM,"MILAN--(BUSINESS WIRE)--Newron Pharmaceuticals S.p.A. (“Newron”) (SIX: NWRN, XETRA: NP5), a biopharmaceutical company focused on the development of novel therapies for patients with diseases of the central and peripheral nervous system (CNS), presented two e-posters at today’s “Schizophrenia and other psychotic disorders” session at the 31st European Congress of Psychiatry, taking place at the Palais des Congrès in Paris, France.",https://www.businesswire.com/news/home/20230328005392/en,Conference News,"MILAN--(BUSINESS WIRE)--Newron Pharmaceuticals S.p.A. (“Newron”) (SIX: NWRN, XETRA: NP5), a biopharmaceutical company focused on the development of novel therapies for patients with diseases of the central and peripheral nervous system (CNS), presented two e-posters at today’s “Schizophrenia and other psychotic disorders” session at the 31st European Congress of Psychiatry, taking place at the Palais des Congrès in Paris, France.","['Newron', 'NWRN', 'CNS', 'European Congress of Psychiatry']",[]
MNCs View CIIE as Launch Pad into Chinese Market,03/28/2023 - 05:59 AM,An exhibitor (right) introduces products to visitors at his booth during the fifth China International Import Expo. (Photo: Business Wire),https://www.businesswire.com/news/home/20230328005528/en,Conference News,An exhibitor (right) introduces products to visitors at his booth during the fifth China International Import Expo.(Photo: Business Wire),[],[]
"J-Squared Unveils the FALC-20, their AI-Inferencing Small Form Factor Computer, in Collaboration with Blaize® to Deliver Scalable AI Acceleration for Edge Deployments, at ISCwest 2023",03/28/2023 - 05:19 AM,TORONTO--(BUSINESS WIRE)--Squared and Blaize® will showcase J-Squared’s FALC product family at the International Security Conference & Exposition (ISCwest) 2023 in Las Vegas from March 28th to 31st.,https://www.businesswire.com/news/home/20230328005520/en,Conference News,TORONTO--(BUSINESS WIRE)--Squared and Blaize® will showcase J-Squared’s FALC product family at the International Security Conference & Exposition (ISCwest) 2023 in Las Vegas from March 28th to 31st.,"['FALC', 'ISCwest']",[]
Summary: FeelM emphasizes sustainable strategy on the first environmental top for the vape industry in the United Kingdom,03/28/2023 - 03:57 AM,(Photo: Business Wire),https://www.businesswire.com/news/home/20230322005445/nl,Conference News,(Photo: Business Wire),[],[]
Summary: Feelm emphasizes the need for a sustainable strategy at the first environmental summit for the vaping sector in the United Kingdom,03/28/2023 - 03:56 AM,(Photo: Business Wire),https://www.businesswire.com/news/home/20230322005447/it,Conference News,(Photo: Business Wire),[],[]
"Netskrt Systems and BAI Communications team up to offer video streaming to railway operators in the UK, Europe, and North America",03/28/2023 - 02:15 AM,"BAI and Netskrt offer railway operators and passengers affordable onboard video streaming, that reduces the load on the internet bandwidth, and improves overall Wi-Fi performance. (Photo: Business Wire)",https://www.businesswire.com/news/home/20230327005729/en,Conference News,"BAI and Netskrt offer railway operators and passengers affordable onboard video streaming, that reduces the load on the internet bandwidth, and improves overall Wi-Fi performance.(Photo: Business Wire)","['BAI', 'Netskrt', 'Wi-Fi']",[]
FEELM Emphasizes the Sustainable Strategy at UK’s First Environmental Summit for Vaping Sector,03/27/2023 - 11:43 PM,(Photo: Business Wire),https://www.businesswire.com/news/home/20230322005444/en,Conference News,(Photo: Business Wire),[],[]
"Asia Youth Leaders Forum Opens in Nansha, Guangzhou",03/27/2023 - 09:41 PM,"Asia Youth Leaders Forum opens in Nansha, Guangzhou (Photo: Business Wire)",https://www.businesswire.com/news/home/20230326005039/en,Conference News,"Asia Youth Leaders Forum opens in Nansha, Guangzhou (Photo: Business Wire)",[],[]
CORRECTING and REPLACING World’s Leading Customer Data Platform Adobe Real-Time CDP Debuts Industry-First Innovations,03/27/2023 - 07:49 PM,"LAS VEGAS--(BUSINESS WIRE)--Today, at Adobe Summit – the world’s largest Digital Experience Conference – Adobe (Nasdaq:ADBE) announced new innovations in Adobe Real-Time Customer Data Platform (Real-Time CDP), which now delivers over 600 billion predictive insights annually based on real-time customer profiles. Designed to drive experience-led growth, Adobe’s latest innovations enable superior prospecting and conversion, enhanced B2B account-based marketing and richer personalization using online shopping behaviors.",https://www.businesswire.com/news/home/20230321005557/en,Conference News,"LAS VEGAS--(BUSINESS WIRE)--Today, at Adobe Summit – the world’s largest Digital Experience Conference – Adobe (Nasdaq:ADBE) announced new innovations in Adobe Real-Time Customer Data Platform (Real-Time CDP), which now delivers over 600 billion predictive insights annually based on real-time customer profiles.Designed to drive experience-led growth, Adobe’s latest innovations enable superior prospecting and conversion, enhanced B2B account-based marketing and richer personalization using online shopping behaviors.","['LAS', 'Adobe Summit', 'Digital Experience Conference – Adobe']",[]
"KEYTRUDA® (pembrolizumab) Plus Chemotherapy Significantly Improved Progression-Free Survival Compared to Chemotherapy Alone as First-Line Therapy for Advanced or Recurrent Endometrial Carcinoma, Regardless of Mismatch Repair Status",03/27/2023 - 05:15 PM,"RAHWAY, N.J.--(BUSINESS WIRE)--Merck (NYSE: MRK), known as MSD outside of the United States and Canada, today announced results from the Phase 3 NRG‑GY018 trial investigating KEYTRUDA, Merck’s anti-PD-1 therapy, in combination with standard of care chemotherapy (carboplatin and paclitaxel) then continued as a single agent every six weeks for up to 14 cycles for the first-line treatment of patients with stage III-IV or recurrent endometrial carcinoma whose cancer was either mismatch repair proficient (pMMR) or mismatch repair deficient (dMMR). Results from the trial showed the KEYTRUDA regimen demonstrated a statistically significant and clinically meaningful improvement in progression-free survival (PFS) for patients, regardless of mismatch repair status. These late-breaking data are being presented for the first time during a scientific plenary at the 2023 Society of Gynecologic Oncology (SGO) Annual Meeting on Women’s Cancer (abstract #338166) and are also being simultaneously published in the New England Journal of Medicine. The results are being discussed with regulatory authorities worldwide.",https://www.businesswire.com/news/home/20230327005147/en,Conference News,"RAHWAY, N.J.--(BUSINESS WIRE)--Merck (NYSE: MRK), known as MSD outside of the United States and Canada, today announced results from the Phase 3 NRG‑GY018 trial investigating KEYTRUDA, Merck’s anti-PD-1 therapy, in combination with standard of care chemotherapy (carboplatin and paclitaxel) then continued as a single agent every six weeks for up to 14 cycles for the first-line treatment of patients with stage III-IV or recurrent endometrial carcinoma whose cancer was either mismatch repair proficient (pMMR) or mismatch repair deficient (dMMR).These late-breaking data are being presented for the first time during a scientific plenary at the 2023 Society of Gynecologic Oncology (SGO) Annual Meeting on Women’s Cancer (abstract #338166) and are also being simultaneously published in the New England Journal of Medicine.","['RAHWAY', 'NYSE', 'MSD', 'KEYTRUDA', 'Merck', 'Society of Gynecologic Oncology', 'SGO', 'the New England Journal of Medicine']",['338166']
Carolina Biological Supply Company Partners with National Science Teaching Association Supporting K-12 Science Standards,03/27/2023 - 05:04 PM,"BURLINGTON, N.C.--(BUSINESS WIRE)--After the NSTA national conference last week, leading school science supplier Carolina Biological announced expanding their partnership with the National Science Teaching Association (NSTA) with an exclusive sponsorship of NSTA’s website for NGSS teaching. This new sponsorship demonstrates NSTA and Carolina’s shared goal of providing the best K-12 Next Generation Science Standards (NGSS) science education resources to NSTA members and science teachers nationwide. This announcement also expands upon Carolina and NSTA’s long partnership, supporting participants at both annual NSTA National Conferences, where educators explore best practices, innovative instructional strategies and techniques, and next-level engagement approaches for inspiring students in science and STEM.",https://www.businesswire.com/news/home/20230327005684/en,Conference News,"BURLINGTON, N.C.--(BUSINESS WIRE)--After the NSTA national conference last week, leading school science supplier Carolina Biological announced expanding their partnership with the National Science Teaching Association (NSTA) with an exclusive sponsorship of NSTA’s website for NGSS teaching.This announcement also expands upon Carolina and NSTA’s long partnership, supporting participants at both annual NSTA National Conferences, where educators explore best practices, innovative instructional strategies and techniques, and next-level engagement approaches for inspiring students in science and STEM.","['the National Science Teaching Association', 'NGSS', 'National Conferences']",[]
Royal Gold Presenting at the Gold Forum Europe 2023 Conference,03/27/2023 - 04:15 PM,"DENVER--(BUSINESS WIRE)--Royal Gold, Inc. (NASDAQ: RGLD) (together with its subsidiaries, “Royal Gold” or the “Company,” “we” or “our”) announced today that management will present at the Gold Forum Europe 2023 conference in Zurich, Switzerland. Dan Breeze, Vice President, Corporate Development, RGLD Gold AG, will address conference participants on Tuesday, April 11, at 10:40 a.m. CEST (4:40 a.m. EDT; 2:40 a.m. MDT) in a presentation lasting 20 minutes. The presentation will not be live streamed but will be available for on-demand streaming from April 12 at 6:00 p.m. CEST (Noon EDT; 10:00 a.m. MDT) and may be accessed on the Company’s website at www.royalgold.com, under Investors/Events & Presentations.",https://www.businesswire.com/news/home/20230327005610/en,Conference News,"DENVER--(BUSINESS WIRE)--Royal Gold, Inc. (NASDAQ: RGLD) (together with its subsidiaries, “Royal Gold” or the “Company,” “we” or “our”) announced today that management will present at the Gold Forum Europe 2023 conference in Zurich, Switzerland.The presentation will not be live streamed but will be available for on-demand streaming from April 12 at 6:00 p.m. CEST (Noon EDT; 10:00 a.m. MDT) and may be accessed on the Company’s website at www.royalgold.com, under Investors/Events & Presentations.","['Gold, Inc.', 'RGLD', 'Company', 'Investors/Events & Presentations']",[]
"Dubai will welcome the ""World Biohack Summit""",03/27/2023 - 02:43 PM,Register now for the first ever Biohack Summit in Dubai (Graphic: AETOSWire),https://www.businesswire.com/news/home/20230326005062/fr,Conference News,Register now for the first ever Biohack Summit in Dubai (Graphic: AETOSWire),['Biohack Summit'],[]
Dell’Oro Group Will Present the Latest Market Research at SmartNICs Summit 2023,03/27/2023 - 01:47 PM,SmartNIC Opportunities for the Hyperscale and Non-Hyperscale Markets Could Reach Parity by 2027,https://www.businesswire.com/news/home/20230327005620/en,Conference News,SmartNIC Opportunities for the Hyperscale and Non-Hyperscale Markets Could Reach Parity by 2027,['Non-Hyperscale Markets'],[]
